Movie Name,IMDB Rating,Description,Votes,Director(s),Stars,Metascore,Movie Genre,Total Duration
Unhinged,6.0,"After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.","68,780",['Derrick Borte'],"['Russell Crowe', 'Caren Pistorius', 'Gabriel Bateman', 'Jimmi Simpson']",40,"Action, Thriller",90 min
The King of Staten Island,7.1,Scott has been a case of arrested development since his firefighter dad died. He spends his days smoking weed and dreaming of being a tattoo artist until events force him to grapple with his grief and take his first steps forward in life.,"68,054",['Judd Apatow'],"['Pete Davidson', 'Bel Powley', 'Ricky Velez', 'Lou Wilson']",67,"Comedy, Drama",136 min
Boss Level,6.8,"Trapped in a time loop that constantly repeats the day of his murder, a former special forces agent must unlock the mystery behind his untimely demise.","67,206",['Joe Carnahan'],"['Frank Grillo', 'Mel Gibson', 'Naomi Watts', 'Michelle Yeoh']",56,"Action, Adventure, Comedy",100 min
Upload,7.9,"A man is able to choose his own afterlife after his untimely death, by having his consciousness uploaded into a virtual world. As he gets used to his new life and befriends his angel (real world handler), questions about his death arise.","66,665",,"['Robbie Amell', 'Andy Allo', 'Allegra Edwards', 'Zainab Johnson']",,"Comedy, Mystery, Sci-Fi",30 min
Normal People,8.4,"Follows Marianne and Connell, from different backgrounds but the same small town in Ireland, as they weave in and out of each other's romantic lives.","65,664",,"['Daisy Edgar-Jones', 'Paul Mescal', 'Desmond Eastwood', 'Aislín McGuckin']",,"Drama, Romance",339 min
Holidate,6.1,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.","65,466",['John Whitesell'],"['Emma Roberts', 'Luke Bracey', 'Kristin Chenoweth', 'Frances Fisher']",44,"Comedy, Romance",104 min
Space Force,6.7,The people tasked with creating a sixth branch of the armed services: The Space Force.,"64,983",,"['Steve Carell', 'John Malkovich', 'Ben Schwartz', 'Diana Silvers']",,Comedy,30 min
Dolittle,5.6,A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,"64,822",['Stephen Gaghan'],"['Robert Downey Jr.', 'Antonio Banderas', 'Michael Sheen', 'Jim Broadbent']",26,"Adventure, Comedy, Family",101 min
I Am Not Okay with This,7.5,"Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her.","61,643",,"['Sophia Lillis', 'Wyatt Oleff', 'Sofia Bryant', 'Kathleen Rose Perkins']",,"Comedy, Drama, Fantasy",30 min
The Courier,7.1,Businessman Greville Wynne is asked by a Russian source to try to help put an end to the Cuban Missile Crisis.,"60,900",['Dominic Cooke'],"['Benedict Cumberbatch', 'Merab Ninidze', 'Rachel Brosnahan', 'Vladimir Chuprikov']",65,"Drama, History, Thriller",112 min
Paatal Lok,8.0,A down-and-out cop lands the case of a lifetime when four suspects are nabbed in the assassination attempt of a journalist. The pursuit leads him to 'Paatal Lok' and to shocking discoveries in the four suspects' pasts.,"60,151",,"['Jaideep Ahlawat', 'Neeraj Kabi', 'Ishwak Singh', 'Abhishek Banerjee']",,"Crime, Drama, Thriller",44 min
Jujutsu Kaisen,8.6,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,"59,362",,"['Junya Enoki', 'Adam McArthur', 'Yûichi Nakamura', 'Yuma Uchida']",,"Animation, Action, Adventure",24 min
Monster Hunter,5.2,"When Cpt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.","58,976",['Paul W.S. Anderson'],"['Milla Jovovich', 'Tony Jaa', 'Ron Perlman', 'T.I.']",47,"Action, Adventure, Fantasy",103 min
Freaky,6.3,"After swapping bodies with a deranged serial killer, a young girl in high school discovers she has less than 24 hours before the change becomes permanent.","58,220",['Christopher Landon'],"['Vince Vaughn', 'Kathryn Newton', ""Celeste O'Connor"", 'Misha Osherovich']",67,"Comedy, Horror, Thriller",102 min
Never Have I Ever,7.9,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","57,900",,"['Maitreyi Ramakrishnan', 'Poorna Jagannathan', 'Darren Barnet', 'John McEnroe']",,"Comedy, Drama",30 min
Ratched,7.3,"In 1947, Mildred Ratched begins working as a nurse at a leading psychiatric hospital. But beneath her stylish exterior lurks a growing darkness.","57,505",,"['Sarah Paulson', 'Finn Wittrock', 'Cynthia Nixon', 'Judy Davis']",,"Crime, Drama, History",60 min
Laxmii,2.6,"Aasif visits his wife's parents' house and happens to go to a ground that is supposedly haunted. However, he is soon possessed by the spirit of a transgender who is out for revenge.","57,438","['Lawrence Raghavendra', 'Balakrishnan Thevar']","['Akshay Kumar', 'Kiara Advani', 'Sharad Kelkar', 'Ashwini Kalsekar']",,"Action, Comedy, Horror",141 min
Demon Slayer the Movie: Mugen Train,8.2,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.","57,225",['Haruo Sotozaki'],"['Natsuki Hanae', 'Akari Kitô', 'Yoshitsugu Matsuoka', 'Hiro Shimono']",72,"Animation, Action, Adventure",117 min
The Flight Attendant,7.1,"A reckless flight attendant with an alcoholism problem wakes up in the wrong hotel, in the wrong bed, with a dead man - and no idea what happened. Unable to piece the night together, she begins to wonder if she could be the killer.","55,797",,"['Kaley Cuoco', 'Zosia Mamet', 'Griffin Matthews', 'Rosie Perez']",,"Comedy, Drama, Mystery",
Ava,5.4,"Ava is a deadly assassin who works for a black ops organization, traveling the globe specializing in high profile hits. When a job goes dangerously wrong she is forced to fight for her own survival.","55,675",['Tate Taylor'],"['Jessica Chastain', 'John Malkovich', 'Common', 'Geena Davis']",39,"Action, Drama, Thriller",96 min
Snowpiercer,6.9,"Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out.","54,795",,"['Daveed Diggs', 'Mickey Sumner', 'Alison Wright', 'Iddo Goldberg']",,"Action, Drama, Sci-Fi",60 min
The Mandalorian,9.8,"PG | 44 min | Action, Adventure, Fantasy","54,758",['Peyton Reed'],"['Pedro Pascal', 'Omid Abtahi', 'Temuera Morrison', 'Gina Carano']",,"Action, Adventure, Fantasy",44 min
My Octopus Teacher,8.1,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.","54,676","['Pippa Ehrlich', 'James Reed']","['Craig Foster', 'Tom Foster']",82,Documentary,85 min
Defending Jacob,7.8,"The limited drama series is a gripping, character-driven thriller based on the 2012 New York Times best selling novel of the same name by William Landay. An assistant DA's world is shattered when his beloved son gets charged with murder.","54,446",,"['Chris Evans', 'Michelle Dockery', 'Jaeden Martell', 'Cherry Jones']",,"Crime, Drama, Mystery",402 min
