Movie Name,IMDB Rating,Description,Votes,Director(s),Stars,Metascore,Movie Genre,Total Duration
The Dry,6.8,Aaron Falk returns to his drought-stricken hometown to attend a tragic funeral. But his return opens a decades-old wound - the unsolved death of a teenage girl.,"26,750",['Robert Connolly'],"['Eric Bana', ""Genevieve O'Reilly"", ""Keir O'Donnell"", 'John Polson']",69,"Crime, Drama, Mystery",117 min
The Stand,5.6,"After the world is in ruins, due to a man-made plague, a battle of Biblical proportions ensues between the survivors.","26,610",,"['Whoopi Goldberg', 'Alexander Skarsgård', 'James Marsden', 'Odessa Young']",,"Adventure, Drama, Fantasy",510 min
Let Him Go,6.7,"A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson.","26,503",['Thomas Bezucha'],"['Diane Lane', 'Kevin Costner', 'Kayli Carter', 'Ryan Bruce']",63,"Crime, Drama, Thriller",113 min
Grudge,4.3,A house is cursed by a vengeful ghost that dooms those who enter it with a violent death.,"26,492",['Nicolas Pesce'],"['Tara Westwood', 'Junko Bailey', 'David Lawrence Brown', 'Zoe Fish']",41,"Fantasy, Horror",94 min
The Lovebirds,6.1,A couple (Issa Rae and Kumail Nanjiani) experiences a defining moment in their relationship when they are unintentionally embroiled in a murder mystery.,"26,270",['Michael Showalter'],"['Issa Rae', 'Kumail Nanjiani', 'Paul Sparks', 'Anna Camp']",59,"Action, Comedy, Crime",86 min
The Mandalorian,8.8,"PG | 52 min | Action, Adventure, Fantasy","25,639",['Jon Favreau'],"['Pedro Pascal', 'John Leguizamo', 'Amy Sedaris', 'Timothy Olyphant']",,"Action, Adventure, Fantasy",52 min
The Silencing,6.2,A reformed hunter living in isolation on a wildlife sanctuary becomes involved in a deadly game of cat and mouse when he and the local Sheriff set out to track a vicious killer who may have kidnapped his daughter years ago.,"25,447",['Robin Pront'],"['Nikolaj Coster-Waldau', 'Caleb Ellsworth-Clark', 'Josh Cruddas', 'Annabelle Wallis']",,"Action, Crime, Mystery",93 min
Barbarians,7.2,"Torn between the mighty empire that raised him and his own tribal people, a Roman officer's conflicted allegiances lead to an epic historical clash.","25,341",,"['Laurence Rupp', 'Jeanne Goursaud', 'David Schütter', 'Florian Schmidtke']",,"Action, Adventure, Drama",280 min
Fatman,5.9,"A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking.","25,152","['Eshom Nelms', 'Ian Nelms']","['Mel Gibson', 'Walton Goggins', 'Marianne Jean-Baptiste', 'Chance Hurstfield']",40,"Action, Adventure, Comedy",100 min
Jeffrey Epstein: Filthy Rich,7.1,"Survivors worldwide reveal the manipulation, abuse and emotional scars suffered at the hands of wealthy convicted pedophile Jeffrey Epstein. Their stories expose a sex trafficking ring of powerful enablers leading up to his 2019 arrest.","24,796",,"['Michael Reiter', 'Annie Farmer', 'Shawna Rivera', 'Alan Dershowitz']",,"Documentary, Crime",227 min
Sputnik,6.4,The lone survivor of an enigmatic spaceship incident hasn't returned home alone - hiding inside his body is a dangerous creature.,"24,405",['Egor Abramenko'],"['Oksana Akinshina', 'Fedor Bondarchuk', 'Pyotr Fyodorov', 'Anton Vasilev']",61,"Drama, Horror, Mystery",113 min
Run Hide Fight,6.3,"17-year-old Zoe Hull uses her wits, survival skills, and compassion to fight for her life, and those of her fellow classmates, against a group of live-streaming school shooters.","24,219",['Kyle Rankin'],"['Isabel May', 'Radha Mitchell', 'Thomas Jane', 'Eli Brown']",13,"Crime, Drama, Thriller",109 min
Away,6.6,An American astronaut struggles with leaving her husband and daughter behind to embark on a dangerous mission with an international space crew.,"24,175",,"['Hilary Swank', 'Josh Charles', 'Vivian Wu', 'Ray Panthaki']",,"Drama, Romance, Sci-Fi",50 min
An American Pickle,5.7,An immigrant worker at a pickle factory is accidentally preserved for 100 years and wakes up in modern-day Brooklyn.,"24,046",['Brandon Trost'],"['Seth Rogen', 'Sarah Snook', 'Molly Evensen', 'Eliot Glazer']",58,"Comedy, Fantasy",88 min
It's Okay to Not Be Okay,8.6,An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.,"24,020",,"['Kim Soo-hyun', 'Seo Ye-Ji', 'Oh Jung-se', 'Park Gyuyoung']",,"Comedy, Drama, Romance",80 min
Solar Opposites,8.0,"A family of aliens move to middle America, where they debate whether life is better there or on their home planet.","23,957",,"['Justin Roiland', 'Thomas Middleditch', 'Sean Giambrone', 'Mary Mack']",,"Animation, Comedy, Sci-Fi",22 min
Trolls World Tour,6.1,"When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls.","23,614","['Walt Dohrn', 'David P. Smith']","['Anna Kendrick', 'Justin Timberlake', 'Rachel Bloom', 'James Corden']",51,"Animation, Adventure, Comedy",91 min
Mythic Quest,7.8,The owner of a successful video game design company and his troubled staff struggle to keep their hit game 'Mythic Quest' on top.,"23,540",,"['Rob McElhenney', 'Charlotte Nicdao', 'Jessie Ennis', 'Ashly Burch']",,Comedy,30 min
Justice League Dark: Apokolips War,7.7,A Sequel to Justice League Dark (2017) involving Jack Kirby's New Gods.,"23,131","['Matt Peters', 'Christina Sotta']","['Roger Cross', 'Rosario Dawson', 'Christopher Gorham', 'Camilla Luddington']",,"Animation, Action, Adventure",90 min
Ottoman Rising,7.9,Ottoman Sultan Mehmed II wages an epic campaign to take the Byzantine capital of Constantinople and shapes the course of history for centuries.,"23,099",,"['Cem Yigit Uzümoglu', 'Tommaso Basili', 'Selim Bayraktar', 'Birkan Sokullu']",,"Documentary, Drama, History",44 min
The Mandalorian,9.1,"PG | 32 min | Action, Adventure, Fantasy","23,074",['Robert Rodriguez'],"['Pedro Pascal', 'Temuera Morrison', 'Ming-Na Wen', 'Giancarlo Esposito']",,"Action, Adventure, Fantasy",32 min
Dark,9.6,"15 | 73 min | Crime, Drama, Mystery","22,660",['Baran bo Odar'],"['Sebastian Rudolph', 'Louis Hofmann', 'Dietrich Hollinderbäumer', 'Lisa Kreuzer']",,"Crime, Drama, Mystery",73 min
Over the Moon,6.3,"In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.","22,543","['Glen Keane', 'John Kahrs']","['Glen Keane', 'Brycen Hall', 'Ruthie Ann Miles', 'John Cho']",60,"Animation, Adventure, Comedy",95 min
Better Call Saul,9.7,"12 | 54 min | Crime, Drama","22,393",['Vince Gilligan'],"['Bob Odenkirk', 'Jonathan Banks', 'Rhea Seehorn', 'Patrick Fabian']",,"Crime, Drama",54 min
Archive,6.3,2038: George Almore is working on a true human-equivalent AI. His latest prototype is almost ready. This sensitive phase is also the riskiest. Especially as he has a goal that must be hidden at all costs.,"22,378",['Gavin Rothery'],"['Theo James', 'Stacy Martin', 'Rhona Mitra', 'Peter Ferdinando']",67,"Drama, Mystery, Sci-Fi",109 min
Better Call Saul,9.7,"12 | 59 min | Crime, Drama","22,290",['Thomas Schnauz'],"['Bob Odenkirk', 'Jonathan Banks', 'Rhea Seehorn', 'Patrick Fabian']",,"Crime, Drama",59 min
Supernatural,6.8,"15 | 42 min | Drama, Fantasy, Horror","22,214",['Robert Singer'],"['Jared Padalecki', 'Jensen Ackles', 'Jim Beaver', 'Christine Chatelain']",,"Drama, Fantasy, Horror",42 min
Lost Girls,6.1,"When Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.","22,116",['Liz Garbus'],"['Amy Ryan', 'Thomasin McKenzie', 'Gabriel Byrne', 'Lola Kirke']",67,"Crime, Drama, Mystery",95 min
The Mandalorian,7.8,"PG | 40 min | Action, Adventure, Fantasy","22,080",['Peyton Reed'],"['Pedro Pascal', 'Amy Sedaris', 'Misty Rosas', 'Richard Ayoade']",,"Action, Adventure, Fantasy",40 min
The Mandalorian,8.7,"PG | 35 min | Action, Adventure, Fantasy","21,913",['Bryce Dallas Howard'],"['Pedro Pascal', 'Misty Rosas', 'Sasha Banks', 'Katee Sackhoff']",,"Action, Adventure, Fantasy",35 min
The Wilds,7.3,A group of teens must survive after a plane crash leaves them stranded on a deserted island. The girls tell their stories to investigators who slowly piece together what happened to them.,"21,694",,"['Rachel Griffiths', 'Sophia Ali', 'Shannon Berry', 'Jenna Clause']",,"Adventure, Drama, Mystery",60 min
I May Destroy You,8.1,"The question of sexual consent in contemporary life and how, in the new landscape of dating and relationships, we make the distinction between liberation and exploitation.","21,654",,"['Michaela Coel', 'Weruche Opia', 'Paapa Essiedu', 'Stephen Wight']",,Drama,30 min
Shiva Baby,7.1,"At a Jewish funeral service with her parents, a college student runs into her sugar daddy and ex girlfriend.","21,635",['Emma Seligman'],"['Rachel Sennott', 'Danny Deferrari', 'Fred Melamed', 'Polly Draper']",79,"Comedy, Drama",77 min
You Should Have Left,5.4,"A former banker, his actress wife, and their spirited daughter book a vacation at an isolated modern home in the Welsh countryside where nothing is quite as it seems.","21,593",['David Koepp'],"['Kevin Bacon', 'Amanda Seyfried', 'Avery Tiiu Essex', 'Colin Blumenau']",46,"Horror, Thriller",93 min
Sweet Home,7.3,"Hyun, a loner high school student who lost his entire family in a terrible accident, is forced to leave his home and has to face a new reality where monsters are trying to wipe out all of humanity. Now he must fight against all odds to try and race against the clock to save what is left of the human race before it's too late.","21,442",,"['Song Kang', 'Lee Jin-Wook', 'Lee Si-young', 'Lee Do-Hyun']",,"Drama, Fantasy, Horror",52 min
Rose Island,7.0,"An idealistic engineer builds his own island off the Italian coast and declares it a nation, drawing the world's attention. Values are tested when the Italian Government declares him an enemy, but to change the world risks must be taken.","21,180",['Sydney Sibilia'],"['Elio Germano', 'Leonardo Lidi', 'Matilda De Angelis', 'Tom Wlaschiha']",,"Adventure, Comedy, Drama",117 min
The Wolf of Snow Hollow,6.2,"Terror grips a small mountain town as bodies are discovered after each full moon. Losing sleep, raising a teenage daughter, and caring for his ailing father, officer Marshall struggles to remind himself there's no such thing as werewolves.","21,150",['Jim Cummings'],"['Jim Cummings', 'Riki Lindhome', 'Robert Forster', 'Chloe East']",67,"Comedy, Horror, Mystery",85 min
War with Grandpa,5.6,"Upset that he has to share the room he loves with his grandfather, Peter decides to declare war in an attempt to get it back.","21,115",['Tim Hill'],"['Robert De Niro', 'Uma Thurman', 'Rob Riggle', 'Oakes Fegley']",34,"Comedy, Drama, Family",94 min
Capone,4.7,"After 10 years in prison, 47-year-old Al Capone starts to suffer from dementia and comes to be haunted by his violent past.","20,976",['Josh Trank'],"['Tom Hardy', 'Linda Cardellini', 'Matt Dillon', 'Al Sapienza']",46,"Biography, Crime, Drama",103 min
Alone,6.2,"A recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her.","20,885",['John Hyams'],"['Jules Willcox', 'Marc Menchaca', 'Anthony Heald', 'Jonathan Rosenthal']",70,"Drama, Horror, Mystery",98 min
Love Wedding Repeat,5.5,"While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl who got away in alternate versions of the same day.","20,734",['Dean Craig'],"['Sam Claflin', 'Olivia Munn', 'Freida Pinto', 'Eleanor Tomlinson']",41,"Comedy, Romance",100 min
Uncle Frank,7.3,"In 1973, when Frank Bledsoe and his 18-year-old niece Beth take a road trip from Manhattan to Creekville, South Carolina, for the family patriarch's funeral, they're unexpectedly joined by Frank's lover, Walid.","20,687",['Alan Ball'],"['Paul Bettany', 'Sophia Lillis', 'Peter Macdissi', 'Steve Zahn']",58,"Comedy, Drama",95 min
Khuda Haafiz,7.1,A newly married couple's life falls in jeopardy when the wife goes missing under mysterious circumstances.,"20,602",['Faruk Kabir'],"['Vidyut Jammwal', 'Shivaleeka Oberoi', 'Annu Kapoor', 'Aahana Kumra']",,"Action, Crime, Drama",133 min
Irresistible,6.3,"A Democratic strategist helps a retired veteran run for mayor in a small, conservative Midwest town.","20,447",['Jon Stewart'],"['Steve Carell', 'Rose Byrne', 'Chris Cooper', 'Brent Sexton']",47,"Comedy, Drama",101 min
The Mandalorian,8.9,"PG | 38 min | Action, Adventure, Fantasy","20,340",['Rick Famuyiwa'],"['Pedro Pascal', 'Bill Burr', 'Gina Carano', 'Temuera Morrison']",,"Action, Adventure, Fantasy",38 min
Big Sky,6.8,A private detective teams up with an ex-cop to solve a kidnapping case in Montana.,"20,087",,"['Katheryn Winnick', 'Kylie Bunbury', 'Dedee Pfeiffer', 'Brian Geraghty']",,"Crime, Drama, Mystery",60 min
Minamata,7.3,War photographer W. Eugene Smith travels back to Japan where he documents the devastating effect of mercury poisoning in coastal communities.,"20,064",['Andrew Levitas'],"['Akiko Iwase', 'Kogarashi Wakasugi', 'Johnny Depp', 'Katherine Jenkins']",55,Drama,115 min
Miss Americana,7.4,A look at iconic pop artist Taylor Swift during a transformational time in her life as she embraces her role as a singer/songwriter and harnesses the full power of her voice.,"19,893",['Lana Wilson'],"['Taylor Swift', 'Andrea Swift', 'Scott Swift', 'Joel Little']",65,"Documentary, Biography, Music",85 min
Hard Kill,3.3,"The work of billionaire tech CEO Donovan Chalmers (Willis) is so valuable that he hires mercenaries to protect it, and a terrorist group kidnaps his daughter just to get it.","19,857",['Matt Eskandari'],"['Jesse Metcalfe', 'Bruce Willis', 'Lala Kent', 'Natalie Eva Marie']",,"Action, Thriller",98 min
The Mandalorian,8.3,"PG | 37 min | Action, Adventure, Fantasy","19,767",['Carl Weathers'],"['Pedro Pascal', 'Gina Carano', 'Carl Weathers', 'Horatio Sanz']",,"Action, Adventure, Fantasy",37 min
I Know This Much Is True,8.1,"Following the parallel lives of identical twin brothers Dominick and Thomas Birdsey in a story of betrayal, sacrifice, and forgiveness.","19,614",,"['Mark Ruffalo', 'John Procaccino', 'Rob Huebel', 'Gabe Fazio']",,Drama,378 min
Mrs. Serial Killer,4.2,"When a doctor gets jailed for a string of shocking murders, his loyal wife sets out to commit a copycat crime to prove his innocence.","19,586",['Shirish Kunder'],"['Jacqueline Fernandez', 'Manoj Bajpayee', 'Mohit Raina', 'Zayn Marie Khan']",,"Crime, Drama, Thriller",106 min
Bicchoo Ka Khel,7.1,"What happens when a young student loses his father to a cover-up? Can he find it in himself to forget the past and move on, or is revenge the only thing that can give him some peace of mind?","19,463",,"['Divyendu Sharma', 'Anshul Chauhan', 'Syed Zeeshan Qadri', 'Mukul Chadda']",,"Crime, Thriller",22 min
Chhalaang,6.7,Chhalaang is a hilarious yet inspiring journey by Montu.,"19,372",['Hansal Mehta'],"['Rajkummar Rao', 'Nushrratt Bharuccha', 'Mohd. Zeeshan Ayyub', 'Saurabh Shukla']",,"Comedy, Drama, Sport",136 min
Tales from the Loop,7.4,"The townspeople who live above ""The Loop,"" a machine built to unlock and explore the mysteries of the universe, experience things previously consigned to the realm of science fiction.","19,372",,"['Daniel Zolghadri', 'Paul Schneider', 'Rebecca Hall', 'Robert Nahum']",,"Drama, Sci-Fi",50 min
The Midnight Gospel,8.2,"Clancy, a spacecaster with a malfunctioning multiverse simulator, leaves the comfort of his home to interview beings living in dying worlds.","19,339",,"['Phil Hendrie', 'Duncan Trussell', 'Joey Diaz', 'Doug Lussenhop']",,"Animation, Adventure, Comedy",23 min
Perry Mason,7.5,"In booming 1932 Los Angeles, a down-and-out defense attorney takes on the case of a lifetime.","19,316",,"['Matthew Rhys', 'Shea Whigham', 'Eric Lange', 'Juliet Rylance']",,"Crime, Drama, History",60 min
Dave,8.3,A neurotic mid-20s suburbanite's convinced he's destined to be one of the greatest rappers of all time. Now he's got to prove it to everyone else.,"19,249",,"['Dave Burd', 'Andrew Santino', 'Gata', 'Taylor Misiak']",,"Comedy, Music",30 min
The Willoughbys,6.3,"Convinced they'd be better off raising themselves, the Willoughby children hatch a sneaky plan to send their selfish parents on vacation. The siblings then embark on their own high-flying adventure to find the true meaning of family.","19,192","['Kris Pearn', 'Cory Evans', 'Rob Lodermeier']","['Will Forte', 'Maya Rudolph', 'Alessia Cara', 'Terry Crews']",68,"Animation, Adventure, Comedy",90 min
Operation MBBS,8.4,"Operation MBBS chronicles the lives of three first year students - Huma, Sakshi and Nishant in one of the best MBBS colleges in the country. Follow their journey as they navigate through friendships, hardships and medical student life.","19,109",,"['Ayush Mehra', 'Anshul Chauhan', 'Sarah Hashmi', 'Prateek Pachauri']",,"Comedy, Drama",27 min
The Kid Detective,7.0,"A once-celebrated kid detective, now 32, continues to solve the same trivial mysteries between hangovers and bouts of self-pity. Until a naive client brings him his first 'adult' case, to find out who brutally murdered her boyfriend.","19,044",['Evan Morgan'],"['Kaitlyn Chalmers-Rizzato', 'Adam Brody', 'Kaleb Horn', 'Wendy Crewson']",74,"Comedy, Drama, Mystery",100 min
Ala Vaikunthapurramuloo,7.3,"Fate plays a vital role in connecting the life of Bantu, a son who seeks validation from his cold-hearted father with the life of Raj, whose millionaire father wishes that he was more assertive.","18,992",['Trivikram Srinivas'],"['Allu Arjun', 'Pooja Hegde', 'Tabu', 'Jayaram']",,"Action, Comedy, Drama",163 min
Kajillionaire,6.4,A woman's life is turned upside down when her criminal parents invite an outsider to join them on a major heist they're planning.,"18,904",['Miranda July'],"['Richard Jenkins', 'Debra Winger', 'Evan Rachel Wood', 'Patricia Belcher']",78,"Comedy, Crime, Drama",104 min
Sweet Magnolias,7.4,"Three South Carolina women, best friends since high school, shepherd one another through the complexities of romance, career, and family.","18,894",,"['Carson Rowland', 'JoAnna Garcia Swisher', 'Brooke Elliott', 'Heather Headley']",,"Drama, Romance",
Paurashpur,3.7,"In a kingdom dominated by men, it is the ultimate battle of the sexes to win the war being waged against gender equality. Every character is grey and they must fight for what they believe is right in order to survive in Paurashpur.","18,846",,"['Annu Kapoor', 'Shilpa Shinde', 'Milind Soman', 'Shaheer Sheikh']",,Drama,25 min
Caliphate,8.2,"Agent Fatima gets a tip that a terrorist act is planned in Sweden. At the same time, teenager Sulle has opened her eyes to her student assistant who opens the doors to a fascinating new world.","18,750",,"['Gizem Erdogan', 'Amed Bozan', 'Aliette Opheim', 'Albin Grenholm']",,"Crime, Drama, Thriller",46 min
The Rhythm Section,5.4,A woman seeks revenge against those who orchestrated a plane crash that killed her family.,"18,677",['Reed Morano'],"['Blake Lively', 'Richard Brake', 'Elly Curtis', 'David Duggan']",45,"Action, Drama, Mystery",109 min
Jingle Jangle: A Christmas Journey,6.4,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.","18,547",['David E. Talbert'],"['Forest Whitaker', 'Keegan-Michael Key', 'Hugh Bonneville', 'Anika Noni Rose']",69,"Family, Fantasy, Musical",122 min
Tehran,7.6,A Mossad agent embarks on her first mission as a computer hacker in her home town of Tehran.,"18,544",,"['Niv Sultan', 'Shaun Toub', 'Shervin Alenabi', 'Shila Ommi']",,"Action, Crime, Drama",45 min
Ammonite,6.5,"1840s England, acclaimed but overlooked fossil hunter Mary Anning and a young woman sent to convalesce by the sea develop an intense relationship, altering both of their lives forever.","18,526",['Francis Lee'],"['Kate Winslet', 'Saoirse Ronan', 'Gemma Jones', 'James McArdle']",72,"Biography, Drama, History",120 min
Dash & Lily,7.4,"A whirlwind holiday romance builds as cynical Dash and optimistic Lily trade dares, dreams and desires in the notebook they pass back and forth at locations all across New York City.","18,475",,"['Austin Abrams', 'Midori Francis', 'Dante Brown', 'Troy Iwata']",,"Comedy, Drama, Romance",
The SpongeBob Movie: Sponge on the Run,5.9,"After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to The Lost City of Atlantic City to bring Gary home.","18,434",['Tim Hill'],"['Tim Hill', 'Clancy Brown', 'Bill Fagerbakke', 'Rodger Bumpass']",65,"Animation, Adventure, Comedy",91 min
Raat Akeli Hai,7.2,The film follows a small town cop who is summoned to investigate the death of a politician which gets complicated by the victim's secretive family and his own conflicted heart.,"18,325",['Honey Trehan'],"['Ashish Chhipa', 'Nawazuddin Siddiqui', 'Radhika Apte', 'Aditya Srivastav']",,"Crime, Drama, Mystery",149 min
Anti-Life,3.0,"On the cusp of fatherhood, a junior mechanic aboard an interstellar ark to New Earth must outwit a malevolent cosmic terror intent on using the spaceship as a weapon.","18,317",['John Suits'],"['Cody Kearsley', 'Bruce Willis', 'Rachel Nichols', 'Kassandra Clementi']",,"Action, Horror, Sci-Fi",92 min
Blood of Zeus,7.5,"A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army.","18,251",,"['Derek Phillips', ""Jason O'Mara"", 'Jessica Henwick', 'Claudia Christian']",,"Animation, Action, Adventure",30 min
Horse Girl,6.0,"Sarah, a socially isolated woman with a fondness for arts and crafts, horses, and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.","18,032",['Jeff Baena'],"['Alison Brie', 'Molly Shannon', 'Goldenite', 'Stella Chestnut']",61,"Drama, Mystery, Thriller",103 min
Stargirl,7.2,Teenager Courtney Whitmore joins the Justice Society of America. Based on the character from DC Comics.,"17,950",,"['Brec Bassinger', 'Trae Romano', 'Anjelika Washington', 'Amy Smart']",,"Action, Adventure, Crime",566 min
Torbaaz,6.8,"A man rises from personal tragedy to lead a group of children from a refugee camp to victory, transforming their lives through the game of cricket.","17,932",['Girish Malik'],"['Sanjay Dutt', 'Nargis Fakhri', 'Rahul Dev', 'Kuwaarjeet Chopraa']",,"Action, Drama, Sport",133 min
Star Trek: Lower Decks,7.5,"The support crew serving on one of Starfleet's least important ships, the U.S.S. Cerritos, have to keep up with their duties, often while the ship is being rocked by a multitude of sci-fi anomalies.","17,918",,"['Tawny Newsome', 'Jack Quaid', 'Noël Wells', 'Eugene Cordero']",,"Animation, Action, Adventure",25 min
The Occupant,6.4,"Javier Muñoz, once a successful executive, makes the fateful decision to leave his home, which he and his family can no longer afford.","17,876","['David Pastor', 'Àlex Pastor']","['Javier Gutiérrez', 'Mario Casas', 'Bruna Cusí', 'Ruth Díaz']",,"Drama, Thriller",103 min
"Love, Victor",8.0,"Victor is a new student at Creekwood High School on his own journey of self-discovery, facing challenges at home, adjusting to a new city, and struggling with his sexual orientation.","17,866",,"['Michael Cimino', 'Rachel Hilson', 'Anthony Turpel', 'Bebe Wood']",,"Comedy, Drama, Romance",30 min
Brahms: The Boy II,4.7,"After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms.","17,857",['William Brent Bell'],"['Katie Holmes', 'Christopher Convery', 'Owain Yeoman', 'Ralph Ineson']",29,"Drama, Horror, Mystery",86 min
Mortal Kombat Legends: Scorpion's Revenge,7.4,Hanzo Hasashi loses his family during an attack by a rival clan the Lin Kuei. He is given the chance to compete in an inter-dimensional tournament to save his loved ones while other fighters try to save the Earth realm from annihilation.,"17,661",['Ethan Spaulding'],"['Jennifer Carpenter', 'Joel McHale', 'Ike Amadi', 'Steve Blum']",,"Animation, Action, Adventure",80 min
"Love, Guaranteed",5.6,"To save her small law firm, earnest lawyer Susan takes a high-paying case from Nick, a charming new client who wants to sue a dating website that guarantees love. But as the case heats up, so do Susan and Nick's feelings for each other.","17,655",['Mark Steven Johnson'],"['Rachael Leigh Cook', 'Damon Wayans Jr.', 'Heather Graham', 'Caitlin Howden']",39,"Comedy, Romance",90 min
Lootcase,7.6,"Nandan Kumar comes across a suitcase and discovers it is full of cash. He takes the suitcase and soon finds himself being chased by a notorious gangster, an honest cop and a minister, who want the suitcase at any cost.","17,641",['Rajesh Krishnan'],"['Kunal Khemu', 'Rasika Dugal', 'Vijay Raaz', 'Ranvir Shorey']",,"Comedy, Crime",132 min
Killer Inside: The Mind of Aaron Hernandez,7.4,A three-part documentary series examining what led to the murderous fall and shocking death of former NFL superstar Aaron Hernandez.,"17,407",,"['Kevin Armstrong', 'Dan Wetzel', 'Stephen Ziogas', 'Patrick Haggan']",,"Documentary, Crime, Sport",202 min
The Dark and the Wicked,6.1,"On a secluded farm in a nondescript rural town, a man is slowly dying. His family gathers to mourn, and soon a darkness grows, marked by waking nightmares and a growing sense that something evil is taking over the family.","17,339",['Bryan Bertino'],"['Marin Ireland', 'Michael Abbott Jr.', 'Julie Oliver-Touchstone', 'Lynn Andrews']",72,Horror,95 min
Avenue 5,6.6,"The troubled crew of Avenue 5, a space cruise ship filled with spoiled, rich, snotty space tourists, must try and keep everyone calm after their ship gets thrown off course into space and ends up needing three years to return to Earth.","17,328",,"['Hugh Laurie', 'Josh Gad', 'Zach Woods', 'Rebecca Front']",,"Comedy, Sci-Fi",
Des,7.6,"In 1983, Scottish serial killer Dennis Nilsen was arrested after the discovery of human remains which had blocked a drain near his London home.","17,319",,"['David Tennant', 'Daniel Mays', 'Jason Watkins', 'Ron Cook']",,"Crime, Drama, History",143 min
Dangerous Lies,5.3,"When a wealthy elderly man dies and unexpectedly leaves his estate to his new caregiver, she's drawn into a web of deception and murder. If she's going to survive, she'll have to question everyone's motives - even the people she loves.","17,314",['Michael M. Scott'],"['Nick Purcha', 'Joe Costa', 'Camila Mendes', 'Briana Skye']",51,Thriller,96 min
Becky,5.9,A teenager's weekend at a lake house with her father takes a turn for the worse when a group of convicts wreaks havoc on their lives.,"17,250","['Jonathan Milott', 'Cary Murnion']","['Lulu Wilson', 'Kevin James', 'Joel McHale', 'Robert Maillet']",54,"Action, Crime, Drama",93 min
White Lines,6.6,"A woman tries to solve the mysterious death of her brother, a famous DJ who disappeared from Ibiza many years ago.","17,156",,"['Laura Haddock', 'Nuno Lopes', 'Marta Milans', 'Daniel Mays']",,"Crime, Drama, Mystery",60 min
Angrezi Medium,7.2,"When his daughter decides to further her studies in London, a hardworking Rajasthani businessman does everything in power to make her dreams come true.","17,006",['Homi Adajania'],"['Irrfan Khan', 'Radhika Madan', 'Kareena Kapoor', 'Deepak Dobriyal']",,"Comedy, Drama",145 min
Code M,7.6,Major Monica Mehra gets involved in an investigation relating to a vigilante outfit and ends up realizing that the key to the mystery lies in her past which has haunted her since her childhood.,"16,956",,"['Jennifer Winget', 'Tanuj Virwani', 'Aalekh Kapoor', 'Keshav Sadhna']",,"Mystery, Thriller",24 min
If Anything Happens I Love You,7.8,"In the aftermath of tragedy, two grieving parents journey through an emotional void as they mourn the loss of a child.","16,790",['Michael Govier'],,,"Animation, Short, Drama",13 min
Dark,9.5,"15 | 69 min | Crime, Drama, Mystery","16,787",['Baran bo Odar'],"['Arnd Klawitter', 'Lisa Vicari', 'Louis Hofmann', 'Paul Lux']",,"Crime, Drama, Mystery",69 min
Bandish Bandits,8.6,"Indian classical singer Radhe and pop star Tamanna. Despite their contrasting personalities, the two ""set out together on a journey of self-discovery to see if opposites, though they might attract, can also adapt and go the long haul.","16,592",,"['Ritwik Bhowmik', 'Shreya Chaudhary', 'Naseeruddin Shah', 'Sheeba Chaddha']",,"Drama, Music, Romance",30 min
The Boys,9.4,"18 | 67 min | Action, Comedy, Crime","16,565",['Alex Graves'],"['Karl Urban', 'Jack Quaid', 'Antony Starr', 'Erin Moriarty']",,"Action, Comedy, Crime",67 min
BoJack Horseman,9.9,"18 | 26 min | Animation, Comedy, Drama","16,417",['Amy Winfrey'],"['Will Arnett', 'Amy Sedaris', 'Alison Brie', 'Paul F. Tompkins']",,"Animation, Comedy, Drama",26 min
"Illegal - Justice, Out of Order",8.1,"Illegal is a racy legal drama that follows an idealist lawyer, Niharika Singh, taking on her powerful mentor, Janardhan Jaitley in a battle that constantly pushes the line between legal and illegal.","16,390",,"['Neha Sharma', 'Piyush Mishra', 'Akshay Oberoi', 'Satyadeep Misra']",,"Crime, Drama, Thriller",
Fort Salem,7.2,A trio of witches is trained to become powerful weapons for the American military.,"16,313",,"['Taylor Hickson', 'Amalia Holm', 'Demetria McKinney', 'Jessica Sutton']",,"Drama, Fantasy, Sci-Fi",42 min
